domain,variant,benchmark,metric,score,score_percent,status,result_file
medical,aci_safe_combined_beta0.03,mmlu_anatomy,"acc,none",0.4962962962962963,49.629629629629626,complete,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T21-22-26.690367.json
medical,aci_safe_combined_beta0.03,medmcqa,"acc,none",0.3638536935213961,36.38536935213961,complete,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T21-22-26.690367.json
medical,aci_safe_combined_beta0.03,mmlu_clinical_knowledge,"acc,none",0.43018867924528303,43.0188679245283,complete,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T21-22-26.690367.json
medical,aci_safe_combined_beta0.03,mmlu_college_biology,"acc,none",0.4027777777777778,40.27777777777778,complete,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T21-22-26.690367.json
medical,aci_safe_combined_beta0.03,mmlu_college_medicine,"acc,none",0.30057803468208094,30.057803468208093,complete,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T21-22-26.690367.json
medical,aci_safe_combined_beta0.03,mmlu_medical_genetics,"acc,none",0.5,50.0,complete,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T21-22-26.690367.json
medical,aci_safe_combined_beta0.03,mmlu_professional_medicine,"acc,none",0.4117647058823529,41.17647058823529,complete,evaluation_results/aci_safe/medical/aci_safe_combined_beta0.03/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__medical_aci_safe_combined_beta0.03__fused_model/results_2026-07-21T21-22-26.690367.json
medical,target,medqa_4options,"acc,none",0.3770620581304006,37.706205813040064,complete,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T21-19-41.746578.json
medical,target,mmlu_anatomy,"acc,none",0.4962962962962963,49.629629629629626,complete,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T21-19-41.746578.json
medical,target,medmcqa,"acc,none",0.3638536935213961,36.38536935213961,complete,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T21-19-41.746578.json
medical,target,mmlu_clinical_knowledge,"acc,none",0.4339622641509434,43.39622641509434,complete,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T21-19-41.746578.json
medical,target,mmlu_college_biology,"acc,none",0.3819444444444444,38.19444444444444,complete,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T21-19-41.746578.json
medical,target,mmlu_college_medicine,"acc,none",0.2947976878612717,29.47976878612717,complete,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T21-19-41.746578.json
medical,target,mmlu_medical_genetics,"acc,none",0.5,50.0,complete,evaluation_results/aci_safe/medical/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3-1b-med/results_2026-07-21T21-19-41.746578.json
