domain,variant,fusion_mode,beta,benchmark,metric,score,score_percent,sample_count,result_file
thai,target,target,,xnli_th,"acc,none",0.45180722891566266,45.18072289156627,2490,evaluation_results/aci_ablations/thai/target/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__models__llama3.2-typhoon2-1b-instruct/results_2026-07-21T19-25-58.786465.json
thai,aci_attention_beta0.01,attention,0.01,xcopa_th,"acc,none",0.582,58.199999999999996,500,evaluation_results/aci_ablations/thai/aci_attention_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_beta0.01__fused_model/results_2026-07-21T19-25-18.931921.json
thai,aci_attention_beta0.01,attention,0.01,xquad_th,"f1,none",0.24968425694428548,24.968425694428547,1190,evaluation_results/aci_ablations/thai/aci_attention_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_beta0.01__fused_model/results_2026-07-21T19-25-18.931921.json
thai,aci_attention_beta0.01,attention,0.01,xnli_th,"acc,none",0.4506024096385542,45.06024096385542,2490,evaluation_results/aci_ablations/thai/aci_attention_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_beta0.01__fused_model/results_2026-07-21T19-25-18.931921.json
thai,aci_attention_beta0.1,attention,0.1,xcopa_th,"acc,none",0.574,57.4,500,evaluation_results/aci_ablations/thai/aci_attention_beta0.1/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_beta0.1__fused_model/results_2026-07-21T19-37-47.393591.json
thai,aci_attention_beta0.1,attention,0.1,xquad_th,"f1,none",0.20462116029487953,20.46211602948795,1190,evaluation_results/aci_ablations/thai/aci_attention_beta0.1/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_beta0.1__fused_model/results_2026-07-21T19-37-47.393591.json
thai,aci_attention_beta0.1,attention,0.1,xnli_th,"acc,none",0.42369477911646586,42.369477911646584,2490,evaluation_results/aci_ablations/thai/aci_attention_beta0.1/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_attention_beta0.1__fused_model/results_2026-07-21T19-37-47.393591.json
thai,aci_ffn_beta0.01,ffn,0.01,xcopa_th,"acc,none",0.582,58.199999999999996,500,evaluation_results/aci_ablations/thai/aci_ffn_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_beta0.01__fused_model/results_2026-07-21T19-40-17.893461.json
thai,aci_ffn_beta0.01,ffn,0.01,xquad_th,"f1,none",0.24062953234823667,24.062953234823667,1190,evaluation_results/aci_ablations/thai/aci_ffn_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_beta0.01__fused_model/results_2026-07-21T19-40-17.893461.json
thai,aci_ffn_beta0.01,ffn,0.01,xnli_th,"acc,none",0.45461847389558235,45.46184738955824,2490,evaluation_results/aci_ablations/thai/aci_ffn_beta0.01/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_beta0.01__fused_model/results_2026-07-21T19-40-17.893461.json
thai,aci_ffn_beta0.1,ffn,0.1,xcopa_th,"acc,none",0.578,57.8,500,evaluation_results/aci_ablations/thai/aci_ffn_beta0.1/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_beta0.1__fused_model/results_2026-07-21T19-51-31.668479.json
thai,aci_ffn_beta0.1,ffn,0.1,xquad_th,"f1,none",0.17788009873737634,17.788009873737636,1190,evaluation_results/aci_ablations/thai/aci_ffn_beta0.1/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_beta0.1__fused_model/results_2026-07-21T19-51-31.668479.json
thai,aci_ffn_beta0.1,ffn,0.1,xnli_th,"acc,none",0.45180722891566266,45.18072289156627,2490,evaluation_results/aci_ablations/thai/aci_ffn_beta0.1/primary/__home__ziheng_zhao__projects__Cross-Architecture-Merging-for-Large-Language-Models__merge_results__aci__thai_aci_ffn_beta0.1__fused_model/results_2026-07-21T19-51-31.668479.json
malay,target,target,,MalayMMLU,"acc,none",0.41027547185396274,41.02754718539627,24213,evaluation_results/aci_ablations/malay/target/primary/metrics.json
malay,aci_attention_beta0.1,attention,0.1,MalayMMLU,"acc,none",0.35026638582579606,35.02663858257961,24213,evaluation_results/aci_ablations/malay/aci_attention_beta0.1/primary/metrics.json
malay,aci_ffn_beta0.1,ffn,0.1,MalayMMLU,"acc,none",0.4559947135836121,45.59947135836121,24213,evaluation_results/aci_ablations/malay/aci_ffn_beta0.1/primary/metrics.json
